编码1,编码2,相似度
同辈竞争压力,自我要求过高,0.6862
同辈竞争压力,优绩主义内化,0.6282
同辈竞争压力,竞争性环境压力,0.8191
同辈竞争压力,自我价值与生产力绑定,0.6130
同辈竞争压力,社会内卷压力,0.7954
同辈竞争压力,社会内卷氛围,0.7280
同辈竞争压力,内卷文化压力,0.7281
同辈竞争压力,对落后的恐惧,0.8198
同辈竞争压力,自我归因为懒惰,0.6654
同辈竞争压力,自我能力怀疑,0.6795
同辈竞争压力,同辈压力,0.8894
同辈竞争压力,未来不确定性引发的焦虑,0.7490
同辈竞争压力,拖延引发的休息负罪感,0.7338
同辈竞争压力,同辈学业比较,0.8339
同辈竞争压力,资源稀缺引发的竞争压力,0.7855
同辈竞争压力,未来不确定性焦虑,0.7482
同辈竞争压力,恐惧落后于他人,0.7439
同辈竞争压力,社会竞争氛围加剧,0.7551
同辈竞争压力,同辈努力压力,0.8938
同辈竞争压力,努力至上价值观的内化,0.6262
同辈竞争压力,未完成任务引发的焦虑,0.7570
同辈竞争压力,虚拟空间中的持续绩效监控,0.5933
同辈竞争压力,同辈学业表现的可见性压力,0.8938
同辈竞争压力,竞争性社会氛围,0.7589
同辈竞争压力,休息与懒惰的道德绑定,0.5893
同辈竞争压力,对他人努力的想象性监控,0.7415
同辈竞争压力,家庭价值导向强调产出,0.4992
同辈竞争压力,高强度学业竞争环境,0.8265
同辈竞争压力,成绩导向的时间紧迫感,0.7857
同辈竞争压力,外部成就期待压力,0.7598
同辈竞争压力,对失控后果的担忧,0.7243
同辈竞争压力,习惯性忙碌内化,0.7082
同辈竞争压力,高自我要求倾向,0.6858
同辈竞争压力,学历身份压力,0.7086
同辈竞争压力,内卷环境感知,0.7202
同辈竞争压力,社会对持续奋斗的推崇,0.6764
同辈竞争压力,优绩主义文化内化,0.5974
同辈竞争压力,社会对勤奋的推崇,0.6114
同辈竞争压力,学术评价体系的压力,0.7073
同辈竞争压力,同辈竞争带来的自我约束,0.8730
同辈竞争压力,家庭对成就的高期待,0.5675
同辈竞争压力,内在成就动机过强,0.7243
同辈竞争压力,高强度工作任务压力,0.7909
同辈竞争压力,社会规训内化,0.7169
同辈竞争压力,休息被建构为退出竞争的象征,0.6585
同辈竞争压力,时间利用的道德化认知,0.5032
同辈竞争压力,休息与时间损失的灾难化联想,0.6535
同辈竞争压力,任务拖延引发的负罪感,0.5660
同辈竞争压力,同辈横向比较压力,0.8475
同辈竞争压力,自我能力不足感,0.7027
同辈竞争压力,自我提升紧迫感,0.7579
同辈竞争压力,时间浪费恐惧,0.6828
同辈竞争压力,完美主义倾向,0.7159
同辈竞争压力,社会期待压力,0.8336
同辈竞争压力,长期行为驯化,0.6453
同辈竞争压力,休息技能缺失,0.7083
同辈竞争压力,心理健康困扰,0.7036
同辈竞争压力,就业压力驱动的自我要求,0.7704
同辈竞争压力,同辈努力氛围引发的自我对照,0.8213
同辈竞争压力,工作积压压力,0.7524
同辈竞争压力,社会竞争加剧,0.8223
同辈竞争压力,努力回报信念,0.5508
同辈竞争压力,好孩子规训内化,0.4345
同辈竞争压力,外部认同依赖,0.6949
同辈竞争压力,决策冲突倾向,0.7170
同辈竞争压力,反刍性自我审视,0.5910
同辈竞争压力,同伴比较压力,0.8673
同辈竞争压力,早期教育塑造的休息观念,0.6831
同辈竞争压力,高强度学业压力下的自我要求,0.8071
同辈竞争压力,家庭环境对休息态度的塑造,0.7040
同辈竞争压力,碎片化工作模式内化,0.6697
同辈竞争压力,同辈产出压力,0.8710
同辈竞争压力,竞争性成长环境,0.7629
同辈竞争压力,未来成就压力,0.7729
同辈竞争压力,家庭经济压力引发的成就焦虑,0.7488
同辈竞争压力,社会对持续产出的推崇,0.6687
同辈竞争压力,休息被等同于浪费,0.5965
同辈竞争压力,能动力不足,0.7253
同辈竞争压力,内卷化社会压力,0.7603
同辈竞争压力,休息价值被否定,0.5663
同辈竞争压力,时间管理失衡感,0.7129
同辈竞争压力,对成果质量的高要求与休闲时间的冲突,0.6781
同辈竞争压力,能力自我怀疑,0.6784
同辈竞争压力,被超越的恐惧,0.6773
同辈竞争压力,休息引发的焦虑与恐惧,0.7134
同辈竞争压力,早期努力至上教育灌输,0.5987
同辈竞争压力,努力不足归因倾向,0.7128
同辈竞争压力,他人持续努力的想象性比较,0.7135
同辈竞争压力,任务未完成时的休息负罪感,0.6280
同辈竞争压力,集体专注氛围下的休息不适,0.7459
同辈竞争压力,自控力与行动力的冲突,0.6509
同辈竞争压力,与同辈自发比较产生的压力,0.8637
同辈竞争压力,自我期望与能力落差,0.7445
同辈竞争压力,升学与就业竞争压力,0.8176
同辈竞争压力,理想自我与现实自我的冲突,0.6158
同辈竞争压力,竞争性学习内化,0.7206
同辈竞争压力,目标缺失下的时间空洞感,0.6723
同辈竞争压力,同辈卷度焦虑,0.8475
同辈竞争压力,教育灌输的时间观,0.4760
同辈竞争压力,非自愿的社会比较倾向,0.6529
同辈竞争压力,制度化时间管理剥夺自主节奏体验,0.5796
同辈竞争压力,同辈竞争压力下的行为参照,0.8842
同辈竞争压力,心理困扰驱动的回避性忙碌,0.7624
同辈竞争压力,竞争导向的评价体系,0.6123
同辈竞争压力,自我规训的思维模式,0.6714
同辈竞争压力,学业负担过重,0.7560
同辈竞争压力,家长期望压力,0.7719
同辈竞争压力,教师权威驱动,0.5780
