编码1,编码2,相似度
同辈竞争压力,自我要求过高,0.4564
同辈竞争压力,优绩主义内化,0.4559
同辈竞争压力,竞争性环境压力,0.7965
同辈竞争压力,自我价值绑定于生产力,0.4714
同辈竞争压力,社会内卷压力,0.6801
同辈竞争压力,对落后的恐惧,0.6354
同辈竞争压力,自我归因为懒惰,0.4909
同辈竞争压力,自我效能感低下,0.5008
同辈竞争压力,未来不确定性焦虑,0.5820
同辈竞争压力,拖延引发的休息负罪感,0.5448
同辈竞争压力,同辈学业比较,0.8446
同辈竞争压力,恐惧落后于他人,0.6156
同辈竞争压力,努力至上价值观的内化,0.4874
同辈竞争压力,未完成任务引发的焦虑,0.5992
同辈竞争压力,虚拟空间中的持续绩效监控,0.4378
同辈竞争压力,休息与懒惰的道德绑定,0.4096
同辈竞争压力,对他人努力的想象性监控,0.5922
同辈竞争压力,家庭价值导向强调产出,0.3717
同辈竞争压力,高强度学业竞争环境,0.7584
同辈竞争压力,外部成就期待压力,0.6486
同辈竞争压力,习惯性忙碌内化,0.5655
同辈竞争压力,学历身份压力,0.6223
同辈竞争压力,内卷环境感知,0.5231
同辈竞争压力,社会对持续奋斗的推崇,0.5356
同辈竞争压力,学术评价体系的压力,0.5944
同辈竞争压力,家庭对成就的高期待,0.4554
同辈竞争压力,内在成就动机过强,0.5377
同辈竞争压力,高强度工作任务压力,0.6843
同辈竞争压力,社会规训内化,0.5337
同辈竞争压力,休息被建构为退出竞争的象征,0.5113
同辈竞争压力,时间利用的道德化认知,0.3494
同辈竞争压力,休息与时间损失的灾难化联想,0.4607
同辈竞争压力,任务拖延引发的负罪感,0.4559
同辈竞争压力,时间浪费恐惧,0.5306
同辈竞争压力,完美主义倾向,0.5385
同辈竞争压力,长期行为驯化,0.4570
同辈竞争压力,休息价值感缺失,0.4784
同辈竞争压力,心理健康困扰,0.5114
同辈竞争压力,就业压力驱动的自我要求,0.6794
同辈竞争压力,努力回报信念,0.4228
同辈竞争压力,好孩子规训内化,0.3387
同辈竞争压力,外部认同依赖,0.5630
同辈竞争压力,决策冲突倾向,0.5149
同辈竞争压力,反刍性自我审视,0.4257
同辈竞争压力,早期教育塑造的休息观念,0.4943
同辈竞争压力,高强度学业压力下的自我要求,0.6917
同辈竞争压力,碎片化工作模式内化,0.4731
同辈竞争压力,家庭经济压力引发的成就焦虑,0.6980
同辈竞争压力,休息等同于生命浪费,0.4253
