file_base,file1,file2,combined_text,text1_length,text2_length,combined_length
sub001,sub001.csv,sub001_编码结果.csv,未来的不确定感 对失控后果的担忧,7,8,16
sub002,sub002.csv,sub002_编码结果.csv,习惯性忙碌 习惯性忙碌内化,5,7,13
sub003,sub003.csv,sub003_编码结果.csv,自我要求高 内卷氛围 高自我要求倾向 学历身份压力 内卷环境感知,10,21,32
sub004,sub004.csv,sub004_编码结果.csv,物质需求 社会对持续奋斗的推崇,4,10,15
sub005,sub005.csv,sub005_编码结果.csv,社会环境 教育观念 同辈比较 优绩主义文化内化,14,8,23
sub006,sub006.csv,sub006_编码结果.csv,自我要求高 同辈压力 社会环境压力 社会对勤奋的推崇 学术评价体系的压力 同辈竞争带来的自我约束 家庭对成就的高期待 内在成就动机过强,17,49,67
sub007,sub007.csv,sub007_编码结果.csv,认为自己懒惰 自我归因为懒惰,6,7,14
sub008,sub008.csv,sub008_编码结果.csv,工作任务繁重 社会规训 自我要求高 高强度工作任务压力 社会规训内化 自我要求过高,17,23,41
sub009,sub009.csv,sub009_编码结果.csv,同辈比较 社交媒体压力 同辈学业表现的可见性压力 休息被建构为退出竞争的象征 时间利用的道德化认知 虚拟空间中的持续绩效监控 休息与时间损失的灾难化联想,11,64,76
sub010,sub010.csv,sub010_编码结果.csv,同辈比较 自我怀疑 拖延行为 自我能力怀疑 任务拖延引发的负罪感 同辈横向比较压力,14,26,41
sub011,sub011.csv,sub011_编码结果.csv,自身能力不满 害怕浪费时间 自我能力不足感 自我提升紧迫感 时间浪费恐惧,13,22,36
sub012,sub012.csv,sub012_编码结果.csv,优绩主义 完美主义 社会期待 休息技能缺失 心理问题 优绩主义内化 完美主义倾向 社会期待压力 长期行为驯化 休息技能缺失 心理健康困扰,26,41,68
sub013,sub013.csv,sub013_编码结果.csv,同辈比较 自我要求高 就业环境压力 就业压力驱动的自我要求 同辈努力氛围引发的自我对照,17,25,43
sub014,sub014.csv,sub014_编码结果.csv,工作堆积 教育观念 认同感需求 内耗性格 努力观念 向外比较 工作积压压力 社会竞争加剧 努力回报信念 好孩子规训内化 外部认同依赖 决策冲突倾向 反刍性自我审视 同伴比较压力,30,57,88
sub015,sub015.csv,sub015_编码结果.csv,学业压力 父母教育影响 教育养成的习惯 早期教育塑造的休息观念 高强度学业压力下的自我要求 家庭环境对休息态度的塑造,19,38,58
sub016,sub016.csv,sub016_编码结果.csv,工作琐碎化 碎片化工作模式内化,5,9,15
sub017,sub017.csv,sub017_编码结果.csv,落后恐惧 同龄比较 同辈产出压力,9,6,16
sub018,sub018.csv,sub018_编码结果.csv,竞争环境 竞争性成长环境,4,7,12
sub019,sub019.csv,sub019_编码结果.csv,现实压力 未来成就压力,4,6,11
sub020,sub020.csv,sub020_编码结果.csv,家庭经济压力 自身现状不满 家庭经济压力引发的成就焦虑,13,13,27
sub021,sub021.csv,sub021_编码结果.csv,落后恐惧 害怕浪费时间 教育影响 同辈比较 竞争性社会氛围 休息与懒惰的道德绑定 对他人努力的想象性监控,21,30,52
sub022,sub022.csv,sub022_编码结果.csv,社会规训 自我要求高 休息即浪费 社会对持续产出的推崇 自我价值与生产力绑定 休息被等同于浪费,16,30,47
sub023,sub023.csv,sub023_编码结果.csv,主观能动力差 社会内卷 时间规划不清晰 能动力不足 内卷化社会压力 休息价值被否定 时间管理失衡感,19,29,49
sub024,sub024.csv,sub024_编码结果.csv,落后恐惧 同辈比较 同辈竞争压力,9,6,16
sub025,sub025.csv,sub025_编码结果.csv,拖延行为 自身要求高 对成果质量的高要求与休闲时间的冲突,10,17,28
sub026,sub026.csv,sub026_编码结果.csv,自身能力不自信 落后恐惧 能力自我怀疑 被超越的恐惧 休息引发的焦虑与恐惧,12,24,37
sub027,sub027.csv,sub027_编码结果.csv,认为自己懒惰 动力不足 自我归因为懒惰,11,7,19
sub028,sub028.csv,sub028_编码结果.csv,家庭教育习惯 自身能力不自信 同辈比较 早期努力至上教育灌输 努力不足归因倾向 他人持续努力的想象性比较,19,32,52
sub029,sub029.csv,sub029_编码结果.csv,未完成任务的压力 群体比较 任务未完成时的休息负罪感 集体专注氛围下的休息不适,13,25,39
sub031,sub031.csv,sub031_编码结果.csv,自控力不足 同辈压力 未来焦虑 自控力与行动力的冲突 同辈压力 未来不确定性引发的焦虑,15,27,43
sub032,sub032.csv,sub032_编码结果.csv,未来不确定性 同辈比较 未来不确定性引发的焦虑 与同辈自发比较产生的压力,11,24,36
sub033,sub033.csv,sub033_编码结果.csv,同辈压力 内卷氛围 竞争性环境压力,9,7,17
sub034,sub034.csv,sub034_编码结果.csv,理想与现实落差 现实压力 自我期望与能力落差 升学与就业竞争压力 理想自我与现实自我的冲突,12,32,45
sub035,sub035.csv,sub035_编码结果.csv,害怕落后 休息浪费时间 缺少规划 与他人比较 拖延行为 竞争性学习内化 拖延引发的休息负罪感 目标缺失下的时间空洞感 同辈卷度焦虑,27,37,65
sub036,sub036.csv,sub036_编码结果.csv,幼年教育观念 与他人比较 优绩主义内化 教育灌输的时间观 非自愿的社会比较倾向,12,26,39
sub037,sub037.csv,sub037_编码结果.csv,家庭教育观念 应试教育影响 同辈压力 缺少规划 家庭价值导向强调产出 制度化时间管理剥夺自主节奏体验 同辈竞争压力下的行为参照 心理困扰驱动的回避性忙碌,23,52,76
sub038,sub038.csv,sub038_编码结果.csv,竞争性评价体系 优柔寡断 竞争导向的评价体系 自我规训的思维模式,12,19,32
sub039,sub039.csv,sub039_编码结果.csv,学业压力 长辈压力 内心不坚定 学业负担过重 家长期望压力 教师权威驱动 自我意志薄弱,15,27,43
sub040,sub040.csv,sub040_编码结果.csv,自我高期望 同辈比较 学业压力 情绪困扰 自我期望过高 同辈学业比较 学业任务压力 休息伴随负面情绪体验,20,31,52
sub041,sub041.csv,sub041_编码结果.csv,落后恐惧 内卷氛围 竞争压力 担忧学业落后 恐惧休息行为本身 感知他人隐性竞争 担忧被群体远远抛下,14,34,49
