文件1,文件2,相似度
sub001,sub002,0.3811
sub001,sub003,0.4149
sub001,sub004,0.4078
sub001,sub005,0.3463
sub001,sub006,0.3851
sub001,sub007,0.3748
sub001,sub008,0.4140
sub001,sub009,0.4107
sub001,sub010,0.4447
sub001,sub011,0.5705
sub001,sub012,0.3721
sub001,sub013,0.3922
sub001,sub014,0.3633
sub001,sub015,0.3714
sub001,sub016,0.3569
sub001,sub017,0.5442
sub001,sub018,0.3921
sub001,sub019,0.5544
sub001,sub020,0.5131
sub001,sub021,0.5512
sub001,sub022,0.4114
sub001,sub023,0.4029
sub001,sub024,0.5649
sub001,sub025,0.4546
sub001,sub026,0.5888
sub001,sub027,0.4058
sub001,sub028,0.3685
sub001,sub029,0.5024
sub001,sub031,0.5972
sub001,sub032,0.7190
sub001,sub033,0.3873
sub001,sub034,0.4693
sub001,sub035,0.4150
sub001,sub036,0.3522
sub001,sub037,0.3937
sub001,sub038,0.3533
sub001,sub039,0.4643
sub001,sub040,0.4483
sub001,sub041,0.5599
sub001,sub042,0.4104
sub001,sub043,0.5176
sub001,sub044,0.3982
sub001,sub045,0.3827
sub001,sub048,0.5441
sub001,sub049,0.4159
sub001,sub050,0.4854
sub001,sub051,0.4259
sub001,sub052,0.4382
sub001,sub053,0.4053
sub001,sub054,0.4174
sub001,sub055,0.3602
sub001,sub056,0.3660
sub001,sub057,0.4624
sub001,sub058,0.4148
sub001,sub059,0.4405
sub001,sub060,0.4294
sub001,sub061,0.3891
sub001,sub062,0.3777
sub001,sub063,0.4631
sub001,sub064,0.3737
sub001,sub065,0.5158
sub001,sub066,0.3512
sub001,sub067,0.3982
sub001,sub068,0.3499
sub001,sub069,0.4531
sub001,sub070,0.4115
sub001,sub071,0.4209
sub001,sub072,0.4194
sub001,sub073,0.4601
sub001,sub074,0.4645
sub001,sub075,0.5491
sub001,sub076,0.3536
sub001,sub077,0.3440
sub001,sub078,0.5538
sub001,sub079,0.4445
sub001,sub080,0.4519
sub001,sub081,0.4476
sub001,sub082,0.3758
sub001,sub083,0.3932
sub001,sub084,0.5266
sub001,sub085,0.3988
sub001,sub086,0.5730
sub001,sub087,0.5141
sub001,sub088,0.4978
sub001,sub089,0.3421
sub001,sub090,0.3705
sub001,sub091,0.3789
sub001,sub092,0.5090
sub001,sub093,0.3608
sub001,sub094,0.4202
sub001,sub095,0.3503
sub001,sub096,0.3936
sub001,sub097,0.3976
sub001,sub098,0.4979
sub001,sub099,0.4076
sub001,sub100,0.4286
sub001,sub101,0.6263
sub001,sub102,0.5324
sub001,sub103,0.7570
sub001,sub104,0.4301
sub001,sub105,0.5146
sub001,sub106,0.5297
sub001,sub108,0.4122
sub001,sub109,0.3973
sub001,sub110,0.7855
sub001,sub111,0.4885
sub001,sub112,0.4481
sub001,sub113,0.4065
sub001,sub114,0.6356
sub001,sub115,0.5197
sub001,sub117,0.4240
sub001,sub119,0.5413
sub001,sub120,0.4864
sub001,sub121,0.3151
sub001,sub122,0.3718
sub001,sub123,0.4985
sub001,sub124,0.5495
sub001,sub125,0.3891
sub001,sub126,0.5002
sub001,sub127,0.3599
sub001,sub128,0.4314
sub001,sub129,0.6557
sub001,sub130,0.3617
sub001,sub131,0.4173
sub001,sub132,0.3782
sub001,sub133,0.3785
sub001,sub134,0.3641
sub001,sub135,0.3909
sub001,sub136,0.4370
sub001,sub137,0.3316
sub001,sub138,0.3586
sub001,sub139,0.4590
sub001,sub140,0.4290
sub001,sub141,0.4390
sub001,sub142,0.3810
sub001,sub143,0.4350
sub001,sub144,0.4000
sub001,sub145,0.2947
sub001,sub146,0.5460
sub001,sub147,0.5275
sub001,sub148,0.4125
sub001,sub149,0.3642
sub001,sub150,0.3938
sub001,sub151,0.6138
sub001,sub152,0.4372
sub001,sub153,0.5646
sub001,sub154,0.3787
sub001,sub155,0.5577
sub001,sub156,0.7305
sub001,sub157,0.3755
sub001,sub158,0.5435
sub001,sub159,0.4497
sub001,sub160,0.5036
sub001,sub161,0.5209
sub001,sub162,0.4668
sub001,sub163,0.3597
sub001,sub164,0.4281
sub001,sub165,0.7318
sub001,sub166,0.4005
sub001,sub167,0.4940
sub001,sub168,0.3582
sub001,sub169,0.4485
sub001,sub170,0.3562
sub001,sub171,0.3833
sub001,sub172,0.4157
sub001,sub173,0.4962
sub001,sub174,0.4424
sub002,sub003,0.5438
sub002,sub004,0.4765
sub002,sub005,0.4636
sub002,sub006,0.5325
sub002,sub007,0.5841
sub002,sub008,0.6258
sub002,sub009,0.5400
sub002,sub010,0.4835
sub002,sub011,0.5371
sub002,sub012,0.5203
sub002,sub013,0.4903
sub002,sub014,0.6058
sub002,sub015,0.4965
sub002,sub016,0.6208
sub002,sub017,0.3508
sub002,sub018,0.4197
sub002,sub019,0.3963
sub002,sub020,0.4688
sub002,sub021,0.4385
sub002,sub022,0.5811
sub002,sub023,0.6438
sub002,sub024,0.3898
sub002,sub025,0.6716
sub002,sub026,0.4700
sub002,sub027,0.5877
sub002,sub028,0.5324
sub002,sub029,0.5077
sub002,sub031,0.4790
sub002,sub032,0.4657
sub002,sub033,0.4788
sub002,sub034,0.4445
sub002,sub035,0.6163
sub002,sub036,0.4281
sub002,sub037,0.4653
sub002,sub038,0.4366
sub002,sub039,0.5083
sub002,sub040,0.4940
sub002,sub041,0.4832
sub002,sub042,0.5574
sub002,sub043,0.5868
sub002,sub044,0.5516
sub002,sub045,0.5494
sub002,sub048,0.4703
sub002,sub049,0.4680
sub002,sub050,0.5298
sub002,sub051,0.4601
sub002,sub052,0.4597
sub002,sub053,0.6715
sub002,sub054,0.4995
sub002,sub055,0.3857
sub002,sub056,0.5396
sub002,sub057,0.5233
sub002,sub058,0.4649
sub002,sub059,0.5901
sub002,sub060,0.3865
sub002,sub061,0.5420
sub002,sub062,0.6331
sub002,sub063,0.5425
sub002,sub064,0.3637
sub002,sub065,0.5075
sub002,sub066,0.4726
sub002,sub067,0.5330
sub002,sub068,0.6077
sub002,sub069,0.5725
sub002,sub070,0.4962
sub002,sub071,0.5832
sub002,sub072,0.5560
sub002,sub073,0.5192
sub002,sub074,0.5165
sub002,sub075,0.5706
sub002,sub076,0.5498
sub002,sub077,0.3532
sub002,sub078,0.4234
sub002,sub079,0.4784
sub002,sub080,0.5335
sub002,sub081,0.4510
sub002,sub082,0.4799
sub002,sub083,0.5988
sub002,sub084,0.5033
sub002,sub085,0.5243
sub002,sub086,0.4836
sub002,sub087,0.4817
sub002,sub088,0.5769
sub002,sub089,0.4333
sub002,sub090,0.4364
sub002,sub091,0.5988
sub002,sub092,0.3896
sub002,sub093,0.5920
sub002,sub094,0.5764
sub002,sub095,0.5590
sub002,sub096,0.5349
sub002,sub097,0.5255
sub002,sub098,0.6057
sub002,sub099,0.5317
sub002,sub100,0.6081
sub002,sub101,0.4623
sub002,sub102,0.4951
sub002,sub103,0.4339
sub002,sub104,0.4706
sub002,sub105,0.5073
sub002,sub106,0.5283
sub002,sub108,0.5138
sub002,sub109,0.4825
sub002,sub110,0.3846
sub002,sub111,0.5693
sub002,sub112,0.5374
sub002,sub113,0.5207
sub002,sub114,0.5264
sub002,sub115,0.4509
sub002,sub117,0.4303
sub002,sub119,0.4502
sub002,sub120,0.5276
sub002,sub121,0.5175
sub002,sub122,0.4821
sub002,sub123,0.5470
sub002,sub124,0.5497
sub002,sub125,0.5480
sub002,sub126,0.6199
sub002,sub127,0.5603
sub002,sub128,0.4925
sub002,sub129,0.4343
sub002,sub130,0.4127
sub002,sub131,0.5263
sub002,sub132,0.5202
sub002,sub133,0.4213
sub002,sub134,0.4805
sub002,sub135,0.5264
sub002,sub136,0.6110
sub002,sub137,0.4554
sub002,sub138,0.4918
