file_base,file1,file2,text1_length,text2_length,similarity,text1_preview,text2_preview
sub093,sub093.csv,sub093_编码结果.csv,11,15,0.4009051,社会文化 不适应慢节奏,勤劳美德内化 制度性过劳常态化
sub017,sub017.csv,sub017_编码结果.csv,9,6,0.40389457,落后恐惧 同龄比较,同辈产出压力
sub148,sub148.csv,sub148_编码结果.csv,12,28,0.4211999,同辈比较 计划失控 懒惰,未完成应尽责任引发的自我谴责 他人成就引发的不利自我对照
sub004,sub004.csv,sub004_编码结果.csv,4,10,0.43485773,物质需求,社会对持续奋斗的推崇
sub146,sub146.csv,sub146_编码结果.csv,16,23,0.46021903,落后恐惧 认为自己懒惰 自我矛盾,担忧被他人超越 卷躺两难困境 能力与期望不匹配
sub021,sub021.csv,sub021_编码结果.csv,21,30,0.46114883,落后恐惧 害怕浪费时间 教育影响 同辈比较,竞争性社会氛围 休息与懒惰的道德绑定 对他人努力的想象性监控
sub147,sub147.csv,sub147_编码结果.csv,2,12,0.46419096,拖延,自我行为不一致引发的内疚
sub089,sub089.csv,sub089_编码结果.csv,4,8,0.47829998,家庭氛围,代际劳动榜样内化
sub048,sub048.csv,sub048_编码结果.csv,9,15,0.48092324,落后恐惧 内卷氛围,竞争性环境压力 长期高压习惯化
sub160,sub160.csv,sub160_编码结果.csv,5,13,0.49121428,缺少规划感,学习效率低下引发的自我责备
