file_base,file1,file2,text1_length,text2_length,similarity,text1_preview,text2_preview
sub052,sub052.csv,sub052_编码结果.csv,18,20,0.9429406,家庭期望 对自身能力不自信 优绩主义,家庭期望压力 自我能力怀疑 优绩主义内化
sub072,sub072.csv,sub072_编码结果.csv,4,6,0.9248085,内卷氛围,社会内卷氛围
sub002,sub002.csv,sub002_编码结果.csv,5,7,0.918645,习惯性忙碌,习惯性忙碌内化
sub012,sub012.csv,sub012_编码结果.csv,26,41,0.9143162,优绩主义 完美主义 社会期待 休息技能缺失 心理问题,优绩主义内化 完美主义倾向 社会期待压力 长期行为驯化 休息技能缺失 心理健康困扰
sub063,sub063.csv,sub063_编码结果.csv,6,8,0.91090274,过分关注他人,过度关注他人表现
sub040,sub040.csv,sub040_编码结果.csv,20,31,0.8964773,自我高期望 同辈比较 学业压力 情绪困扰,自我期望过高 同辈学业比较 学业任务压力 休息伴随负面情绪体验
sub101,sub101.csv,sub101_编码结果.csv,8,18,0.88568956,未完成目标的恐惧,对未完成任务的恐惧 对目标的矛盾心理
sub031,sub031.csv,sub031_编码结果.csv,15,27,0.88567615,自控力不足 同辈压力 未来焦虑,自控力与行动力的冲突 同辈压力 未来不确定性引发的焦虑
sub159,sub159.csv,sub159_编码结果.csv,23,33,0.8822342,社会功利文化 自我价值偏差 同辈竞争 错失恐惧,社会功利文化压力 同辈竞争压力 自我价值绑定于生产力 错失恐惧驱动
sub067,sub067.csv,sub067_编码结果.csv,19,15,0.8692868,社会内卷 自我期待 落后恐惧 自我矛盾,社会内卷压力 自我成长期待冲突
